Год постройки,Парковка,Пассажирский лифт,Санузел,Способ продажи,Двор,Тип дома,Долгота,Цена,Грузовой лифт,Тип комнат,Количество комнат,Метро (минут),В доме,Ремонт,Этаж (текущий),Площадь кухни,Широта,Этажей в доме,Общая площадь,Район,Расстояние до центра,Доля жилой площади,Есть консьерж,Есть мусоропровод,Есть газ,Детская площадка,Спорт площадка,Закрытая территория
1968.0,открытая во дворе,1,раздельный,альтернативная,Unknown,панельный,37.509523,14699000,0,изолированные,2.0,13.0,Unknown,косметический,8.0,7.0,55.643785,9.0,46.3,0,0.15565345532303557,0.6263498920086393,0,0,0,0,0,0
,"подземная, открытая во дворе",4,совмещенный,Unknown,Unknown,монолитный,37.31632,17033753,0,Unknown,4.0,,Unknown,Unknown,18.0,5.3,55.54974,23.0,75.7,6,0.36500734513157906,0.7344782034346103,0,0,0,0,0,0
,подземная,2,совмещенный,Unknown,Unknown,монолитный,37.5088,15993600,0,Unknown,0.0,18.0,Unknown,Unknown,23.0,,55.76903,28.0,33.6,3,0.10960142745421013,0.7202380952380952,0,0,0,0,0,0
1976.0,открытая во дворе,2,раздельный,свободная,"детская площадка, спортивная площадка",панельный,37.60489655,10000000,1,Unknown,1.0,5.0,мусоропровод,косметический,9.0,9.0,55.59870911,12.0,38.7,0,0.1576036971739383,0.5426356589147286,0,1,0,1,1,0
,"подземная, открытая во дворе",4,совмещенный,переуступка,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.6547,25900000,0,Unknown,2.0,13.0,Unknown,Unknown,18.0,13.7,55.68754,35.0,59.9,5,0.07769065323447827,0.41235392320534225,0,0,0,1,1,1
1975.0,открытая во дворе,1,совмещенный,свободная,детская площадка,кирпичный,37.403603,8300000,1,Unknown,1.0,8.0,Unknown,требует ремонта,2.0,2.8,55.724008,9.0,21.1,6,0.21634566617568943,0.6161137440758293,0,0,0,1,0,0
,подземная,0,раздельный,Unknown,Unknown,монолитный,37.55159,33624134,0,Unknown,4.0,13.0,Unknown,Unknown,17.0,14.7,55.66158,29.0,84.5,0,0.1150422900502278,0.7668639053254438,0,0,0,0,0,0
1953.0,открытая во дворе,0,совмещенный,свободная,детская площадка,кирпичный,37.80868,2580000,0,Unknown,0.0,8.0,Unknown,косметический,1.0,,55.792513,2.0,10.7,1,0.19457494897596586,0.6635514018691588,0,0,0,1,0,0
,за шлагбаумом во дворе,0,совмещенный,Unknown,Unknown,монолитный,37.66661,8339800,0,Unknown,0.0,8.0,Unknown,Unknown,16.0,,55.84225,35.0,19.9,4,0.09937596590725262,0.6482412060301508,0,0,0,0,0,0
,Unknown,1,Unknown,Unknown,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.47349,19864500,1,Unknown,0.0,31.0,Unknown,Unknown,2.0,,55.75911,22.0,28.5,2,0.14414800796404156,,0,0,0,1,1,1
1971.0,Unknown,1,совмещенный,свободная,"детская площадка, спортивная площадка",панельный,37.572495,8900000,0,Unknown,1.0,5.0,"мусоропровод, газ",требует ремонта,2.0,6.7,55.862833,9.0,32.7,3,0.11614871550731944,0.5718654434250764,0,1,1,1,1,0
,подземная,1,совмещенный,договор долевого участия,Unknown,монолитный,37.69428,16800749,1,смежные,2.0,8.0,Unknown,Unknown,47.0,20.3,55.70588,47.0,40.0,5,0.0914976983317035,0.2525,0,0,0,0,0,0
2024.0,"подземная, за шлагбаумом во дворе",2,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитно-кирпичный,37.581791630729086,31500000,1,Unknown,0.0,5.0,"консьерж, мусоропровод",дизайнерский,4.0,,55.779332497057815,8.0,33.0,3,0.04284877743434965,1.0,1,1,0,1,1,1
2021.0,открытая во дворе,2,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.33216858,9800000,1,Unknown,0.0,5.0,Unknown,евро,13.0,,55.6342392,23.0,27.7,6,0.3102388170746157,,0,0,0,1,1,1
1973.0,открытая во дворе,3,раздельный,свободная,"детская площадка, спортивная площадка",панельный,37.533966,12900000,1,Unknown,1.0,8.0,консьерж,евро,9.0,12.0,55.649063,15.0,35.0,0,0.13560026963469185,0.5714285714285714,1,0,0,1,1,0
,Unknown,0,Unknown,Unknown,Unknown,монолитный,37.72797,15096000,0,Unknown,2.0,18.0,Unknown,Unknown,5.0,,55.72055,33.0,44.4,5,0.11586241582152074,,0,0,0,0,0,0
1957.0,открытая во дворе,1,совмещенный,свободная,детская площадка,кирпичный,37.583895,6000000,1,Unknown,0.0,8.0,Unknown,требует ремонта,4.0,,55.846067,5.0,19.0,3,0.09635433728691105,1.0,0,0,0,1,0,0
1968.0,наземная многоуровневая,1,раздельный,свободная,"детская площадка, спортивная площадка",кирпичный,37.676448,15999999,0,изолированные,2.0,8.0,"мусоропровод, газ",косметический,1.0,7.0,55.704362,9.0,52.0,5,0.07815980391479657,0.6230769230769231,0,1,1,1,1,0
1990.0,открытая во дворе,1,совмещенный,свободная,"детская площадка, спортивная площадка",панельный,37.68480301,14700000,1,Unknown,1.0,8.0,мусоропровод,дизайнерский,12.0,8.0,55.70256805,17.0,38.0,5,0.0857314706153015,0.5263157894736842,0,1,0,1,1,0
,подземная,0,Unknown,Unknown,Unknown,монолитный,37.59913,33214500,0,Unknown,1.0,13.0,Unknown,Unknown,4.0,,55.79841,22.0,60.5,3,0.0464408548586232,,0,0,0,0,0,0
1978.0,за шлагбаумом во дворе,2,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",панельный,37.66554271163937,4900000,1,Unknown,0.0,5.0,мусоропровод,требует ремонта,1.0,,55.87390383860351,12.0,20.5,4,0.12746379992852566,,0,1,0,1,1,1
2020.0,открытая во дворе,2,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.703721,12500000,1,Unknown,0.0,8.0,Unknown,дизайнерский,17.0,,55.645603,19.0,27.2,5,0.1398578043943191,,0,0,0,1,1,1
,Unknown,0,Unknown,возможна ипотека,Unknown,монолитный,37.68413,21759348,0,Unknown,2.0,31.0,Unknown,Unknown,2.0,,55.6934,27.0,46.6,5,0.091214038941385,,0,0,0,0,0,0
,Unknown,1,совмещенный,договор долевого участия,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.49775,23440000,1,Unknown,0.0,13.0,Unknown,Unknown,13.0,,55.71497,14.0,27.0,6,0.12661402528945942,0.37037037037037035,0,0,0,1,1,1
1967.0,открытая во дворе,1,раздельный,свободная,"детская площадка, спортивная площадка",панельный,37.428962,4990000,0,"изолированные, смежные",3.0,8.0,Unknown,требует ремонта,4.0,5.9,55.862378,9.0,58.6,2,0.21666371437783827,0.7559726962457337,0,0,0,1,1,0
,"подземная, наземная многоуровневая",0,Unknown,Unknown,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.43301,37146219,0,Unknown,3.0,13.0,Unknown,Unknown,25.0,21.0,55.72884,30.0,75.2,6,0.18654841114306,0.4507978723404255,0,0,0,1,1,1
,Unknown,0,Unknown,Unknown,Unknown,монолитный,37.64203,22640217,0,Unknown,1.0,25.5,Unknown,Unknown,9.0,19.7,55.71261,21.0,41.6,5,0.04962057033126489,0.3269230769230769,0,0,0,0,0,0
1998.0,открытая во дворе,1,раздельный,свободная,"детская площадка, спортивная площадка",панельный,37.852563,14990000,1,изолированные,2.0,13.0,мусоропровод,евро,8.0,9.5,55.73704,17.0,54.0,1,0.23571073155246927,0.5925925925925926,0,1,0,1,1,0
,открытая во дворе,1,совмещенный,Unknown,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.68834,38357200,1,изолированные,2.0,13.0,Unknown,Unknown,18.0,33.7,55.75139,25.0,93.1,5,0.07087732853317126,0.3802363050483351,0,0,0,1,1,1
1966.0,открытая во дворе,2,раздельный,свободная,"детская площадка, спортивная площадка",блочный,37.598268,13750000,0,изолированные,2.0,8.0,"мусоропровод, газ",косметический,4.0,8.0,55.689162,12.0,44.2,0,0.06938551194593791,0.6787330316742081,0,1,1,1,1,0
,подземная,1,совмещенный,Unknown,Unknown,монолитный,37.50737,28663392,0,Unknown,1.0,8.0,Unknown,Unknown,11.0,17.1,55.77342,46.0,47.0,3,0.11162937471830761,0.25957446808510637,0,0,0,0,0,0
1971.0,открытая во дворе,1,раздельный,свободная,"детская площадка, спортивная площадка",панельный,37.82525253,11780000,0,изолированные,2.0,13.0,"мусоропровод, газ",косметический,8.0,6.0,55.71952057,9.0,42.7,1,0.21079793703099814,0.6557377049180327,0,1,1,1,1,0
,Unknown,0,Unknown,Unknown,Unknown,монолитный,37.6063,14870800,0,Unknown,1.0,8.0,Unknown,Unknown,13.0,10.9,55.8579,28.0,32.9,4,0.10272341505226618,0.3100303951367781,0,0,0,0,0,0
1967.0,"открытая во дворе, за шлагбаумом во дворе",2,раздельный,свободная,детская площадка,панельный,37.653649,10700000,0,изолированные,2.0,5.0,"мусоропровод, газ",требует ремонта,3.0,6.0,55.636636,12.0,37.2,5,0.12449734654601828,0.6182795698924731,0,1,1,1,0,0
